state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_
Assam,Udalguri,"18","326","0211",Sipajhar (part),"0","60","617","18",2902163.30385,7163.52819483
Assam,Barpeta,"18","303","0038",Bajali,"2489","347","280","18",315508598.276,132679.134045
Assam,Baksa,"18","324","0211",Sipajhar (part),"0","722","616","18",4705577.43437,9315.85218473
Assam,Chirang,"18","320","0173",Dangtola (part),"0","829","612","18",50575254.8993,58473.6707241
Assam,Bongaigaon,"18","319","0176",Tapatari,"2507","1019","281","18",152500220.423,76686.8995221
Assam,Udalguri,"18","326","0215",Bechimari (part),"6555","1033","617","18",78782723.8861,63011.1691447
Assam,Udalguri,"18","326","0213",Pub-mangaldai (part),"6557","1038","617","18",42821837.8506,45277.4013767
Assam,Udalguri,"18","326","0212",Pachim-mangaldai (part),"6558","1051","617","18",6275570.09603,18868.8690445
Assam,Nalbari,"18","323","0208",Dham Dhama (part),"0","1572","298","18",13606741.8169,19699.6632322
Assam,Baksa,"18","324","0201",Barigog-banbhag (part),"0","1573","616","18",8813002.63563,13881.6835234
Assam,Cachar,"18","316","0158",Binnakandi,"2510","1920","282","18",123122919.457,65621.3927776
Assam,Dhubri,"18","301","0014",Birshingjarua,"2551","1936","285","18",229247568.488,97957.8402735
Assam,Nagaon,"18","305","0055",Pakhimaria,"2672","2217","297","18",94551040.1453,61302.2827632
Assam,Nagaon,"18","305","0050",Rupahi,"2674","2256","297","18",129169152.754,62769.5244627
Assam,Dhubri,"18","301","0010",Bilasipara,"2550","2573","285","18",168223223.93,107138.53347
Assam,Karbi Anglong East,"18","314","0137",Somelangso,"2625","2582","292","18",525895131.355,163664.313384
Assam,Barpeta,"18","303","0036",Barpeta,"2490","2583","280","18",112140218.88,75232.0785989
Assam,Cachar,"18","316","0148",Barkhola,"2511","2584","282","18",380814452.023,133171.38078
Assam,Karbi Anglong West,"18","759","0133",Socheng,"2626","2585","710","18",884291459.266,237091.506983
Assam,Barpeta,"18","303","0034",Bhawanipur,"2491","2586","280","18",226011927.862,145156.1072
Assam,Barpeta,"18","303","0029",Chakchaka,"2492","2587","280","18",154033167.704,113003.639286
Assam,Barpeta,"18","303","0032",Chenga,"2493","2589","280","18",277299566.606,108869.366104
Assam,Karimganj,"18","317","0164",Patherkandi,"2631","2590","293","18",263765928.455,97212.7770495
Assam,Barpeta,"18","303","0028",Gobardhana,"2494","2591","280","18",142484639.068,106156.568557
Assam,South Salmara-Mankachar,"18","758","0016",Jamadarhat,"2557","2592","707","18",116476301.654,57612.6111683
Assam,Barpeta,"18","303","0033",Gumafulbari,"2495","2593","280","18",191191658.52,107162.368361
Assam,Dhubri,"18","301","0015",Nayeralga,"2560","2594","285","18",132601746.172,73969.4609027
Assam,Baksa,"18","324","0039",Jalah (part),"2496","2595","616","18",539150587.113,177072.826846
Assam,Barpeta,"18","303","0031",Mandia,"2497","2596","280","18",740865791.651,186104.147351
Assam,Barpeta,"18","303","0035",Pakabetbari,"2498","2597","280","18",273623574.704,115576.973002
Assam,Barpeta,"18","303","0030",Rupsi Pt.,"2499","2598","280","18",191253277.049,113160.067915
Assam,Nalbari,"18","323","0200",Barbhag,"2680","2599","298","18",80408355.2726,60820.662593
Assam,Cachar,"18","316","0146",Katigorah,"2513","2600","282","18",174502619.14,123871.963716
Assam,Bongaigaon,"18","319","0174",Baitamari,"2501","2601","281","18",408745249.942,139913.759547
Assam,Barpeta,"18","303","0037",Sarukhetri,"2500","2602","280","18",146682196.716,76778.3688753
Assam,Cachar,"18","316","0147",Salchapra,"2518","2603","282","18",73772252.4787,89611.2445074
Assam,Cachar,"18","316","0150",Silchar,"2519","2604","282","18",92263550.2591,76937.1647798
Assam,Bongaigaon,"18","319","0175",Srijangram,"2506","2605","281","18",282049550.507,133928.64351
Assam,Chirang,"18","320","0179",Borobazar,"2502","2606","612","18",1028115738.08,190559.990227
Assam,Bongaigaon,"18","319","0173",Dangtola,"2503","2607","281","18",294534806.08,146980.186882
Assam,Cachar,"18","316","0152",Tapang,"2521","2608","282","18",235208501.013,87981.0674755
Assam,Cachar,"18","316","0151",Udarbond,"2522","2609","282","18",526064038.046,145485.357454
Assam,Bongaigaon,"18","319","0177",Manikpur,"2504","2610","281","18",211724934.205,146461.287672
Assam,Dhemaji,"18","308","0088",Murkongselek,"2548","2611","284","18",1092830537,205631.691134
Assam,Chirang,"18","320","0178",Sidli-chirang Pt.,"2505","2612","612","18",1137723251.95,181003.886727
Assam,Goalpara,"18","302","0023",Balijana,"2570","2613","287","18",370053415.803,119072.112937
Assam,Cachar,"18","316","0157",Baskandi,"2508","2614","282","18",123361800.349,76547.9232509
Assam,Cachar,"18","316","0154",Barjalenga,"2509","2615","282","18",124964215.423,74196.9761116
Assam,Cachar,"18","316","0149",Kalain,"2512","2616","282","18",735243025.745,186609.671233
Assam,Cachar,"18","316","0160",Lakhipur,"2514","2617","282","18",242274989.991,138221.743539
Assam,Cachar,"18","316","0155",Narshingpur,"2515","2618","282","18",459087593.021,155758.204106
Assam,Cachar,"18","316","0156",Palanghat,"2516","2619","282","18",681057124.097,165620.83516
Assam,Cachar,"18","316","0159",Rajabazar,"2517","2620","282","18",465036309.998,148064.792772
Assam,Cachar,"18","316","0153",Sonai,"2520","2621","282","18",175205197.568,117800.395136
Assam,Goalpara,"18","302","0022",Kharmuja,"2572","2622","287","18",210947470.903,91433.131958
Assam,Darrang,"18","325","0215",Bechimari,"2523","2623","283","18",160969592.83,137501.885398
Assam,Darrang,"18","325","0216",Dolgaon-sialmari,"2527","2625","283","18",421157838.716,188463.989793
Assam,Darrang,"18","325","0214",Kalaigaon,"2528","2626","283","18",142166159.204,123848.40333
Assam,Darrang,"18","325","0212",Pachim-mangaldai,"2535","2627","283","18",245449321.632,142184.139116
Assam,Darrang,"18","325","0213",Pub-mangaldai,"2537","2628","283","18",409741479.864,152671.258379
Assam,Darrang,"18","325","0211",Sipajhar,"2540","2629","283","18",583758256.001,173444.672978
Assam,Dhemaji,"18","308","0087",Sissibargaon,"2544","2630","284","18",952621635.578,183921.464271
Assam,Dhemaji,"18","308","0090",Bordoloni,"2545","2632","284","18",610896803.206,155313.37548
Assam,Dhemaji,"18","308","0086",Dhemaji,"2546","2633","284","18",505206414.746,134880.49794
Assam,Dhemaji,"18","308","0089",Machkhowa,"2547","2634","284","18",11372132.5726,17414.8059258
Assam,Dhubri,"18","301","0011",Chapar-salkocha,"2552","2635","285","18",243535651.218,121687.208402
Assam,Dhubri,"18","301","0008",Debitola,"2553","2636","285","18",68062218.7834,56469.0339511
Assam,South Salmara-Mankachar,"18","758","0018",Fekamari,"2554","2637","707","18",197703878.022,89187.1996783
Assam,Goalpara,"18","302","0024",Krishnai,"2573","2638","287","18",348893638.001,115878.074023
Assam,Dhubri,"18","301","0013",Gauripur,"2555","2639","285","18",333565610.998,155700.552385
Assam,Dhubri,"18","301","0006",Golokganj,"2556","2640","285","18",174607911.999,123412.443387
Assam,Dhubri,"18","301","0009",Mahamaya,"2558","2642","285","18",147807961.849,114116.66564
Assam,Golaghat,"18","313","0126",Golaghat Central,"2578","2643","288","18",239559236.311,113647.70724
Assam,Goalpara,"18","302","0025",Matia,"2576","2644","287","18",252262733.616,108384.930626
Assam,Kamrup,"18","321","0191",Rampur,"2612","2645","291","18",174876033.658,87734.6358005
Assam,South Salmara-Mankachar,"18","758","0019",Mankachar,"2559","2646","707","18",142926522.301,105525.876017
Assam,Dhubri,"18","301","0007",Rupsi Pt.,"2561","2647","285","18",140101908.563,115158.658619
Assam,South Salmara-Mankachar,"18","758","0017",South Salmara,"2562","2648","707","18",390749317.16,119672.283619
Assam,Goalpara,"18","302","0027",Rongjuli,"2577","2649","287","18",368065719.053,100594.360233
Assam,Dibrugarh,"18","310","0098",Barbarua,"2563","2650","286","18",920123473.606,215823.200412
Assam,Dibrugarh,"18","310","0104",Joypur,"2564","2651","286","18",589726835.386,182707.465599
Assam,Dibrugarh,"18","310","0102",Khowang,"2565","2652","286","18",501303632.736,150937.431296
Assam,Dibrugarh,"18","310","0099",Lahowal,"2566","2653","286","18",736028403.111,155515.605952
Assam,Golaghat,"18","313","0124",Golaghat North,"2580","2654","288","18",171309061.115,70749.5145309
Assam,Golaghat,"18","313","0129",Golaghat South,"2581","2655","288","18",1121022284.45,312270.085223
Assam,Golaghat,"18","313","0122",Golaghat West,"2582","2656","288","18",1658758987.14,319039.66648
Assam,Dibrugarh,"18","310","0100",Panitola,"2567","2657","286","18",605533191.289,150134.877964
Assam,Dibrugarh,"18","310","0101",Tengakhat,"2568","2658","286","18",452226451.744,190625.630876
Assam,Dibrugarh,"18","310","0103",Tingkhong,"2569","2659","286","18",496757948.158,135544.016028
Assam,Goalpara,"18","302","0020",Jaleswar,"2571","2660","287","18",256279084.082,120635.676327
Assam,Goalpara,"18","302","0026",Kushdhawa,"2574","2661","287","18",306153546.47,126381.511814
Assam,Karimganj,"18","317","0166",Ramkrishna Nagar,"2632","2662","293","18",235882317.642,93935.4564639
Assam,Goalpara,"18","302","0021",Lakhipur,"2575","2663","287","18",349118347.355,166508.57047
Assam,Morigaon,"18","304","0046",Dulongghat Pt.,"2651","2664","296","18",88444880.9763,43468.6021327
Assam,Morigaon,"18","304","0044",Kapili Pt.,"2652","2665","296","18",58183043.7166,45366.8388518
Assam,Jorhat,"18","312","0118",Jorhat Central,"2592","2666","290","18",256895389.769,97485.2023145
Assam,Kamrup,"18","321","0188",Goroimari,"2609","2667","291","18",199509279.309,79320.7327286
Assam,Golaghat,"18","313","0127",Golaghat East,"2579","2668","288","18",295755406.354,147585.976841
Assam,Golaghat,"18","313","0128",Gamariguri,"2583","2669","288","18",343227817.103,145957.898012
Assam,Golaghat,"18","313","0125",Kakodonga,"2584","2670","288","18",185980530.524,128387.862767
Assam,Golaghat,"18","313","0123",Morongi,"2585","2671","288","18",399490281.896,131979.33354
Assam,Hailakandi,"18","318","0168",Algapur,"2586","2672","289","18",190438758.967,80432.5789933
Assam,Hailakandi,"18","318","0169",Hailakandi,"2587","2673","289","18",195850669.316,92749.8273852
Assam,Morigaon,"18","304","0042",Mairabari Pt.,"2655","2674","296","18",123960811.071,60124.4758715
Assam,Hailakandi,"18","318","0171",Katlicherra,"2588","2675","289","18",296233291.789,113361.893509
Assam,Nagaon,"18","305","0045",Batadrawa,"2658","2676","297","18",144085458.771,73886.2712866
Assam,Hojai,"18","757","0060",Binnakandi,"2659","2677","709","18",223438021.517,154580.844294
Assam,Hailakandi,"18","318","0170",Lala,"2589","2678","289","18",328003843.775,134674.513324
Assam,Hailakandi,"18","318","0172",South Hailakandi,"2590","2679","289","18",601681653.51,156681.840797
Assam,Jorhat,"18","312","0117",Jorhat,"2591","2680","290","18",554732109.011,236419.80604
Assam,Jorhat,"18","312","0120",Jorhat East,"2593","2681","290","18",285142499.216,120502.656534
Assam,Jorhat,"18","312","0119",Kaliapani,"2594","2682","290","18",363663789.597,153523.85143
Assam,Majuli,"18","760","0114",Majuli,"2595","2683","706","18",384757526.472,137943.227335
Assam,Kamrup,"18","321","0185",Sualkuchi,"2615","2684","291","18",168510082.298,82202.6758641
Assam,Jorhat,"18","312","0116",Jorhat North West,"2596","2685","290","18",667100513.531,163196.690688
Assam,Jorhat,"18","312","0121",Titabar,"2597","2686","290","18",449200577.771,179298.41446
Assam,Kamrup,"18","321","0181",Rangia,"2613","2687","291","18",234875748.658,117079.343444
Assam,Kamrup,"18","321","0193",Rani,"2614","2688","291","18",323648140.062,194668.894447
Assam,Karbi Anglong West,"18","759","0130",Amri,"2616","2689","710","18",1676899473.07,276004.030307
Assam,Karbi Anglong East,"18","314","0135",Bokajan,"2617","2690","292","18",2423473715.66,360113.570136
Assam,Majuli,"18","760","0115",Ujani Majuli,"2598","2691","706","18",610518211.707,159044.173009
Assam,Nagaon,"18","305","0048",Kaliabor,"2664","2692","297","18",502433224.199,247940.759865
Assam,Kamrup,"18","321","0183",Bezera,"2599","2693","291","18",172199651.697,104892.660452
Assam,Kamrup,"18","321","0180",Bihdia-jajikona,"2600","2694","291","18",202511641.921,101245.227911
Assam,Kamrup,"18","321","0190",Boko-bongaon,"2601","2695","291","18",637933055.194,171476.606955
Assam,Kamrup,"18","321","0187",Bangaon,"2602","2696","291","18",263949986.625,150380.336454
Assam,Kamrup,"18","321","0189",Chamaria,"2603","2697","291","18",317136930.529,124087.904864
Assam,Kamrup Metropolitan,"18","322","0194",Chandrapur,"2604","2698","618","18",169737929.076,102456.814408
Assam,Kamrup,"18","321","0192",Chayani Barduar,"2605","2699","291","18",288711571.147,144910.696581
Assam,Kamrup,"18","321","0186",Chhaygaon,"2606","2700","291","18",347162428.984,136192.370829
Assam,Kamrup Metropolitan,"18","322","0195",Dimoria,"2607","2701","618","18",822643505.022,232780.875753
Assam,Baksa,"18","324","0205",Goreswar (part),"2608","2702","616","18",271965164.107,163543.933679
Assam,Kamrup,"18","321","0184",Hajo,"2610","2703","291","18",346667174.315,127268.97349
Assam,Karbi Anglong East,"18","314","0138",Longsomepi,"2620","2704","292","18",272618589.397,77115.9245158
Assam,Karbi Anglong East,"18","314","0134",Lumbajang,"2621","2705","292","18",1411371836.63,283549.308045
Assam,Karbi Anglong East,"18","314","0140",Nilip,"2622","2706","292","18",1750595304.05,266201.494385
Assam,Kamrup,"18","321","0182",Kamalpur,"2611","2707","291","18",180717427.735,86414.8422723
Assam,Karbi Anglong West,"18","759","0131",Chinthong,"2618","2708","710","18",415563228.716,157325.95418
Assam,Karbi Anglong East,"18","314","0136",Howraghat,"2619","2709","292","18",1892104519.99,521476.828226
Assam,Karbi Anglong West,"18","759","0132",Rongkhag,"2623","2710","710","18",833222063.487,195927.367523
Assam,Karbi Anglong East,"18","314","0139",Rongmongway,"2624","2711","292","18",852062882.737,346743.537276
Assam,Karimganj,"18","317","0163",Badarpur,"2627","2712","293","18",163872321.327,69119.120093
Assam,Nagaon,"18","305","0053",Juria,"2663","2713","297","18",189293193.425,92153.5125837
Assam,Karimganj,"18","317","0167",Dullavcherra,"2628","2714","293","18",461525471.556,121587.081035
Assam,Nagaon,"18","305","0054",Khagarijan,"2667","2715","297","18",144924494.446,77666.9351964
Assam,Karimganj,"18","317","0165",Lowairpoa,"2629","2716","293","18",650636707.91,154358.923201
Assam,Karimganj,"18","317","0161",North Karimganj,"2630","2717","293","18",160321466.605,102367.484345
Assam,Karimganj,"18","317","0162",South Karimganj,"2633","2718","293","18",298855108.629,127031.268849
Assam,Kokrajhar,"18","300","0004",Dotoma,"2634","2719","294","18",380960448.868,138663.391819
Assam,Kokrajhar,"18","300","0002",Gossaigaon,"2635","2720","294","18",462698540.395,227753.737743
Assam,Nagaon,"18","305","0042",Mairabari Pt.,"2670","2721","297","18",81468944.533,54331.175278
Assam,Nagaon,"18","305","0047",Pachim-kaliabor,"2671","2722","297","18",242344042.031,234123.787176
Assam,Kokrajhar,"18","300","0001",Kachugaon,"2637","2723","294","18",1145051352.81,189984.9767
Assam,Kokrajhar,"18","300","0005",Kokrajhar,"2638","2724","294","18",1706113138.22,429128.435873
Assam,Lakhimpur,"18","307","0079",Bihpuria,"2640","2725","295","18",203611252.317,99575.1088119
Assam,Lakhimpur,"18","307","0081",Boginodi,"2641","2726","295","18",666039997.94,145930.610002
Assam,Lakhimpur,"18","307","0084",Dhakuakhana,"2642","2727","295","18",587189200.378,180570.142876
Assam,Lakhimpur,"18","307","0085",Ghilamora,"2643","2728","295","18",354993515.722,167579.586604
Assam,Lakhimpur,"18","307","0078",Karunabari,"2644","2729","295","18",333718737.842,123512.474217
Assam,Lakhimpur,"18","307","0082",Lakhimpur,"2645","2730","295","18",379303979.666,157950.710308
Assam,Lakhimpur,"18","307","0077",Narayanpur,"2646","2731","295","18",478899640.166,135223.308872
Assam,Lakhimpur,"18","307","0080",Nowboicha,"2647","2732","295","18",419332537.514,150894.399513
Assam,Lakhimpur,"18","307","0083",Telahi,"2648","2733","295","18",380019127.987,150022.211612
Assam,Morigaon,"18","304","0043",Bhurbandha,"2650","2734","296","18",365180503.789,166972.163246
Assam,Morigaon,"18","304","0041",Laharighat,"2653","2735","296","18",449364149.586,173670.168179
Assam,Morigaon,"18","304","0040",Mayang,"2654","2736","296","18",802005066.69,235252.125783
Assam,Nagaon,"18","305","0049",Bajiagaon,"2656","2737","297","18",221791132.842,107443.32868
Assam,Nagaon,"18","305","0051",Barhampur,"2657","2738","297","18",229411139.782,118436.08939
Assam,Hojai,"18","757","0059",Dhal Pukhuri,"2660","2739","709","18",269859238.769,111701.247109
Assam,Nagaon,"18","305","0046",Dulongghat Pt.,"2661","2740","297","18",80000965.7384,49367.5909677
Assam,Hojai,"18","757","0058",Jugijan,"2662","2741","709","18",495598217.029,199747.945161
Assam,Nagaon,"18","305","0044",Kapili Pt.,"2665","2742","297","18",139283847.858,98251.4772823
Assam,Nagaon,"18","305","0056",Kathiatoli,"2666","2743","297","18",476270883.37,173555.57504
Assam,Nagaon,"18","305","0052",Laokhowa,"2668","2744","297","18",192801355.251,92134.0935151
Assam,Hojai,"18","757","0061",Udali,"2675","2745","709","18",245038299.178,79906.6917584
Assam,Hojai,"18","757","0062",Lumding,"2669","2746","709","18",574915848.52,138395.844094
Assam,Nagaon,"18","305","0057",Raha,"2673","2747","297","18",356013900.633,136363.006617
Assam,Baksa,"18","324","0207",Tihu-barama,"2676","2748","616","18",158148468.521,90909.0893081
Assam,Nalbari,"18","323","0201",Barigog-banbhag,"2677","2749","298","18",186927388.216,105593.470978
Assam,Nalbari,"18","323","0199",Barkhetri,"2678","2750","298","18",462566335.023,142292.379921
Assam,Baksa,"18","324","0204",Baksa,"2679","2751","616","18",341227959.342,116484.606865
Assam,Sonitpur,"18","306","0068",Bihaguri,"2705","2752","301","18",137114544.247,68577.1149435
Assam,Baksa,"18","324","0208",Dham Dhama,"2681","2753","616","18",267869688.904,115609.057038
Assam,Biswanath,"18","756","0072",Bishawnath,"2706","2754","705","18",235809567.253,93557.5784805
Assam,Nalbari,"18","323","0197",Madhupur,"2682","2755","298","18",90791659.3189,77189.4540429
Assam,Baksa,"18","324","0209",Nagrijulli,"2683","2756","616","18",330713261.545,134038.078745
Assam,Nalbari,"18","323","0198",Pachim Nalbari,"2684","2757","298","18",171716712.234,123268.123116
Assam,Nalbari,"18","323","0202",Pub-nalbari,"2685","2758","298","18",160441613.576,81749.6417704
Assam,Charaideo,"18","755","0111",Pachim Abhoypur,"2701","2761","708","18",294555638.271,103068.354124
Assam,Baksa,"18","324","0206",Tamulpur,"2686","2762","616","18",389831748.738,126609.163423
Assam,Nalbari,"18","323","0196",Tihu,"2687","2763","298","18",105984196.939,83401.9246024
Assam,Dima Hasao,"18","315","0145",Diyung Valley,"2688","2767","299","18",1263819788.4,186897.933003
Assam,Dima Hasao,"18","315","0142",Diyungbra,"2689","2768","299","18",991678386.83,175561.29423
Assam,Dima Hasao,"18","315","0143",Harangajao,"2690","2769","299","18",968944246.003,213313.237677
Assam,Dima Hasao,"18","315","0144",Jatinga Valley,"2691","2770","299","18",982860198.133,196907.929175
Assam,Dima Hasao,"18","315","0141",New Sangbar,"2692","2771","299","18",1800749507.16,262386.476392
Assam,Sibsagar,"18","311","0108",Amguri,"2693","2772","300","18",128358733.178,66519.5605412
Assam,Sibsagar,"18","311","0105",Demow,"2694","2773","300","18",689338042.641,219177.39536
Assam,Sibsagar,"18","311","0107",Gourisagar,"2695","2774","300","18",430388048.491,177125.502896
Assam,Charaideo,"18","755","0110",Lakwa,"2696","2775","708","18",185453789.209,72452.1251797
Assam,Sibsagar,"18","311","0109",Nazira,"2697","2776","300","18",345432115.105,122456.360826
Assam,Charaideo,"18","755","0112",Sapekhati,"2698","2777","708","18",499539113.962,151409.052086
Assam,Sibsagar,"18","311","0106",Sibsagar,"2699","2778","300","18",393980995.547,227646.594356
Assam,Charaideo,"18","755","0113",Sonari,"2700","2779","708","18",373129760.997,127598.450783
Assam,Biswanath,"18","756","0073",Baghmara,"2702","2783","705","18",403980701.038,164353.518586
Assam,Sonitpur,"18","306","0066",Balipara,"2703","2785","301","18",679844741.582,163880.397764
Assam,Biswanath,"18","756","0074",Behali,"2704","2788","705","18",499775538.489,141338.259248
Assam,Sonitpur,"18","306","0065",Barchala,"2707","2790","301","18",403265172.404,149155.625878
Assam,Biswanath,"18","756","0075",Chaiduar,"2708","2792","705","18",538501850.893,130349.466486
Assam,Sonitpur,"18","306","0063",Dhekiajuli,"2709","2793","301","18",921225040.808,169635.141923
Assam,Sonitpur,"18","306","0064",Gabharu,"2710","2794","301","18",724926130.694,197053.951186
Assam,Sonitpur,"18","306","0069",Naduar,"2711","2795","301","18",553810488.492,187747.15464
Assam,Biswanath,"18","756","0076",Pub-chaiduar,"2712","2796","705","18",395872318.683,118737.259065
Assam,Sonitpur,"18","306","0067",Rangapara,"2713","2797","301","18",342942818.156,118597.370866
Assam,Biswanath,"18","756","0071",Sakomatha,"2714","2798","705","18",174144528.98,65187.4702841
Assam,Tinsukia,"18","309","0095",Guijan,"2716","2799","302","18",458962694.114,171258.499981
Assam,Tinsukia,"18","309","0093",Hapjan,"2717","2800","302","18",695567420.899,193374.350879
Assam,Tinsukia,"18","309","0096",Itakhuli,"2718","2801","302","18",276449455.144,120863.34573
Assam,Tinsukia,"18","309","0094",Kakapathar,"2719","2802","302","18",861082391.45,193153.958441
Assam,Tinsukia,"18","309","0097",Margherita,"2720","2803","302","18",1173447354.81,234793.120852
Assam,Tinsukia,"18","309","0091",Sadiya,"2721","2804","302","18",1093527617.4,189109.300597
Assam,Tinsukia,"18","309","0092",Saikhowa,"2722","2806","302","18",310248387.898,107761.973887
Assam,Chirang,"18","320","0177",Manikpur (part),"0","4740","612","18",145872047.614,113646.850896
Assam,Baksa,"18","324","0196",Tihu (part),"0","4774","616","18",6224149.69242,14283.8141431
Assam,Chirang,"18","320","0028",Gobardhana (part),"0","4776","612","18",43103767.5289,45515.9738516
Assam,Bongaigaon,"18","319","0179",Borobazar (part),"0","4783","281","18",7776071.10599,15433.0046268
Assam,Kamrup,"18","321","0205",Goreswar,"0","4784","291","18",6020914.34575,13947.2352904
Assam,Udalguri,"18","326","0220",Rowta,"6551","6213","617","18",156842423.951,77939.5817672
Assam,Udalguri,"18","326","0214",Kalaigaon (part),"6552","6221","617","18",217949210.573,130992.001934
Assam,Udalguri,"18","326","0210",Khirabari,"6553","6222","617","18",107286492.485,90370.9674475
Assam,Udalguri,"18","326","0221",Barchala (part),"6554","6223","617","18",51650390.3975,54848.0082935
Assam,Kokrajhar,"18","300","0003",Hatidhura,"6559","6256","294","18",103238067.345,81240.8756015
Assam,Udalguri,"18","326","0218",Udalguri,"6548","6292","617","18",852405506.034,184793.652202
Assam,Udalguri,"18","326","0217",Bhergaon,"6549","6293","617","18",502789612.587,139945.821882
Assam,Udalguri,"18","326","0219",Mazbat,"6550","6294","617","18",516621385.155,160277.330602
Assam,Kamrup Metropolitan,"18","322","0193",Rani (part),"6560","6295","618","18",195909879.305,106034.08281
Assam,Kamrup Metropolitan,"18","322","0183",Bezera (part),"6561","6296","618","18",46624431.7291,43979.8508365
Assam,Kokrajhar,"18","300","0011",Chapar-salkocha (part),"6566","6298","294","18",126503564.049,93312.5265038
Assam,Chirang,"18","320","0005",Kokrajhar (part),"0","6392","612","18",15710390.9831,23677.6987581
Assam,Darrang,"18","325","0210",Khirabari (part),"0","6393","283","18",19977793.3703,30070.3746608
Assam,Barpeta,"18","303","0039",Jalah,"0","6394","280","18",76927297.9829,75483.3847667
Assam,Baksa,"18","324","0028",Gobardhana (part),"0","6395","616","18",624838698.835,206330.607287
Assam,Baksa,"18","324","0038",Bajali (part),"0","6396","616","18",6263701.58941,12837.3570371
Assam,Baksa,"18","324","0181",Rangia (part),"0","6397","616","18",87175615.732,95010.1508338
Assam,Bongaigaon,"18","319","0178",Sidli-chirang Pt. (part),"0","6398","281","18",3522389.66585,7911.79753628
Assam,Nalbari,"18","323","0207",Tihu-barama (part),"0","6399","298","18",36717719.2233,52361.4894843
Assam,Baksa,"18","324","0180",Bihdia-jajikona (part),"0","6400","616","18",18748351.0674,33735.0846211
Assam,Sonitpur,"18","306","0070",Chatia,"0","6402","301","18",575099083.126,157319.192408
Assam,Dhubri,"18","301","0012",Agamoni,"2549","6414","285","18",303088277.922,145964.495344
